"","Well","Tray X (kw)","Tray Y (kw)","Trigger Pulse Width","Time 1","Time 2","Time 3","Drop Phase","ROI Bits 1-16","ROI Bits 17-32","Classifier Bits","Sort Result Bits","Sort Enable Bits","FSC","*[488] 530/40","SSC","*[488] 670/30","[488] 530/40","*[488] 710/50","[488] 670/30","*[561] 585/29","[488] 710/50","*[561] 610/20","[561] 585/29","*[561] 670/30","[561] 610/20","*[561] 710/30","[561] 670/30","*[561] 750 LP","[561] 710/30","*[640] 670/30","[561] 750 LP","*[640] 720/40","[640] 670/30","*[640] 750 LP","[640] 720/40","*[355] 460/50","[640] 750 LP","*[355] 670/30","[355] 460/50","*[405] 460/50","[355] 670/30","*[405] 520/35","[405] 460/50","*[405] 650 LP","[405] 520/35","[405] 650 LP","Tray X","Tray Y","FSC Area","FSC Width","SSC Area","SSC Width","[405] 460/50 Area","[405] 460/50 Width","[355] 460/50 Area","[355] 460/50 Width","TIME"
"1","A2",904,7119,7103,39620,40612,283,65525,8980,0,32769,32769,49153,29904,401.568617667434,13532,48.8200964195647,402.585749982364,4.40536537053136,48.840684089307,6.21784850881766,4.41590306267235,71.0996848600618,9.5790676899435,25.0991031344081,71.1196721750818,1.52570890019385,25.1344018712113,4.10989348383773,1.5325858259533,3.04196558837058,4.11393866518859,1.02044373222845,3.04881350401194,1.02274090239427,1.02058715408165,65535,1.02504324383079,9334.53682694522,65535,39043,9342.4113252087,8651.12832121023,39043,671.28091008403,8646.26641664209,672.792062958831,903,7119,22182,8704,17842,7040,38513,9600,65535,9600,7
"2","A3",1354,7119,6657,28738,41437,283,65524,8960,0,32769,32769,49153,23137,362.515159042586,8107,20.7499283567394,364.200327534701,3.30913401250784,20.78787317632,13.8840794384443,3.321247721921,106.798327890041,16.9578237517834,19.9857391527371,107.038746763557,1.44941865825005,19.9885481187351,8.29629673888392,1.45268151458828,2.09786406451052,8.31263611156349,1.01800864211329,2.10347333854037,1.02274090239427,1.02015694898392,65535,1.02504324383079,9354.23552965747,65535,30770,9347.66468083188,7245.13340753812,30770,543.155668638564,7235.97520980002,543.613867952443,1353,7119,19288,8384,11051,6656,33072,9216,65535,9216,16
"3","A4",1804,7119,7573,48610,42738,283,65528,8960,0,32769,32769,49153,18201,817.706888336033,17131,58.4335938562627,817.477081804712,5.20658226089333,58.5075502189598,6.19865354255149,5.22343918816827,107.71783044373,12.9947979500317,42.2645804792403,107.86932204586,1.43522961351642,42.3180725620797,6.67517860799176,1.43745008682922,5.30183575363102,6.68644555232198,1.02044373222845,5.31451781476664,1.6450781096721,1.02044373222845,65535,1.64947672351643,9334.53682694522,65535,36932,9343.72438726517,8611.09922797235,36932,690.8049943517,8602.63204825911,692.749421644312,1803,7119,19050,9280,24433,8128,38387,9664,65535,10112,31
"4","A5",2254,7119,6356,49219,44667,283,65525,8980,0,32769,32769,49153,24709,499.162771636269,11152,41.4994166723256,500.849254009366,1.66883004248173,41.534425060056,24.6412422119519,1.67258682638302,95.2001637313209,28.8377211135682,51.4186423566145,95.5218091086847,1.73069370822507,51.5778671138481,4.9012585982301,1.73239715137758,3.06126466696755,4.92335035603764,1.0561915187808,3.06686271692124,1.1897054556066,1.05916440929568,65535,1.19271885807608,9354.23552965747,65535,37417,9356.8651623017,8494.50709830194,37417,671.28091008403,8495.7009886768,672.792062958831,2253,7119,18438,8832,14048,6336,37458,8896,65535,8896,54
"5","A6",2704,7119,7241,54584,45463,283,65524,8964,0,32769,32769,49153,27853,651.758815562544,14022,50.0427099980426,653.501489866237,3.27075818967823,50.218842596093,14.1122794577438,3.27904268628149,127.541598411503,19.5770859205903,22.8083181217908,127.541598411503,2.5651847675284,22.8660892632351,10.451173055713,2.56843138856491,2.57457511036355,10.467342280929,1.83102937839181,2.57964567902133,1.02274090239427,1.83695755306057,65535,1.02576378788376,9314.87960692682,65535,38802,9314.87960692682,8591.75790682728,38802,688.382133287776,8600.21438361737,688.866024728741,2703,7119,25213,9216,19102,7360,39615,9728,65535,9792,63
"6","A7",3154,7119,6751,8563,46115,283,65524,17684,0,32769,32769,49153,18431,13.2735117878587,12840,46.0736000943732,16.2622877232744,3.60482980874711,46.2032846887593,82.0815606888203,3.61700916641543,460.153608437707,82.2547776670317,96.724093449297,461.189482447819,3.99542055894989,96.9418337271489,7.30443158582908,3.99991517294658,1.75469508724208,7.31676063781023,1.29219520454363,1.75963407443202,2.95599111949396,1.29274012948366,65535,2.95599111949396,8025.64564462655,65535,22066,8035.80328719142,5038.14320521038,22066,400.328945124955,5045.93782039103,400.779291728896,3153,7119,17458,8384,17255,6976,23165,9088,65535,9280,70
"7","A8",3604,7119,6287,12622,47123,283,65528,17780,0,32769,32769,49153,19747,2.57457511036355,10317,37.9137189791402,6.19255848869885,4.9399844963699,37.9510357294549,99.7753907993274,4.95667483717636,516.286328641009,99.789414082532,80.8564823988345,516.72186131646,4.46269460632762,80.9929589696387,7.43806485735917,4.47588486276294,2.88945163665991,7.45271396135633,1.02044373222845,2.89188914184276,1.2253406350664,1.02058715408165,65535,1.23224834116878,8513.62949345541,65535,21804,8520.81148458201,4999.35036647193,21804,440.59845381008,4994.43457153313,441.404164005791,3603,7119,17081,8000,13306,6528,21329,8640,65535,8832,82
"8","A9",4054,7119,6020,12919,48256,283,65532,17684,0,32769,32769,49153,15346,5.26397086113236,8121,14.4555353370145,7.19844630568852,2.9944589190174,14.4880768907116,52.7878750069575,2.99951322601367,183.695755306057,52.8324061966438,41.1914546353792,183.515129705125,3.96688588209801,41.301592446807,7.38079303343816,3.97581593047968,2.09315206880402,7.38598128921022,1.01800864211329,2.09668507207163,1.02044373222845,1.02001358758692,65535,1.02489919576881,8181.66695224257,65535,22530,8182.81687339887,5272.11485893342,22530,465.029462221579,5274.33813515611,465.225567385042,4053,7119,13562,7680,10847,6272,22950,8576,65535,8576,95
"9","A10",4504,7119,7277,46207,48995,283,65528,17756,0,32769,32769,49153,21672,20.8258873845417,15857,33.0309373642921,24.6447055020005,3.76694057884908,33.0866898398907,104.968049891876,3.77435948488834,504.097621662641,105.45599872917,108.629981864233,504.66470194683,6.6181978486217,108.843926207561,10.2230978943337,6.64055823815313,3.71907186362711,10.2317219715759,1.86898770886888,3.72954003466518,1.22069983738542,1.87345835214925,65535,1.22637431706711,7186.31661837475,65535,19820,7190.35757477272,4677.16735888234,19820,457.702722916595,4682.42889807852,458.346424321535,4503,7119,22388,8960,21441,7552,20184,8960,65535,9792,104
"10","A11",4954,7119,6224,35421,49588,283,65527,20860,0,32769,32769,49153,19395,5.93106009201819,9674,21.4376293489712,7.16513882628936,4.28145907272738,21.5161058360095,33.6399598471665,4.28808300629265,208.69836320832,33.6920049223105,43.3291116601744,209.315206880402,1.94072440478769,43.4449651441459,7.28495306064574,1.94400012744819,1.02274090239427,7.30853895976176,1.02044373222845,1.02590795746288,1.1253031414,1.02101754059893,65535,1.12656904149117,8338.37730981713,65535,20389,8344.23869002537,4832.85874294823,20389,342.987521810357,4826.74977662303,342.891129357514,4953,7119,16151,7872,12331,6336,19592,8768,65535,8768,110
"11","A12",5404,7119,7153,27452,50131,283,65531,17788,0,32769,32769,49153,25432,8.14381007425943,15566,44.5517477665148,11.9171354346834,5.41631125025476,44.6269460632762,104.350288075959,5.43384719999473,644.472071233937,104.541110559109,79.6384954940203,643.74789257849,9.42152258957509,80.0086987255774,2.77483590032628,9.44273183406925,3.10895722004363,2.7756159532812,1.02044373222845,3.11726995740795,1.24916167783647,1.02058715408165,65535,1.25232567684735,8903.99609660102,65535,20748,8897.74151683243,4794.29880148825,20748,356.402644611764,4797.66890661342,356.552941323173,5403,7119,23236,8832,19709,7232,20068,8832,65535,9664,117
